Comentario,Aspecto,Polaridad
la caratula sin errores ortograficos,caratula,2
la estructura del documento se visualiza correctamente tambien cuenta con la mayoria de los elementos solicitados pero no cuenta con herencias y en ciertos casos de uso no se realizaron con la sintaxis correcta,estructura,1
no existen herencias la relacion entre los casos de uso no estan correctamente disenados no existe un orden y contiene errores de comunicacion existen casos de uso la aislados y la aplicacion de los include no es la correcta en los casos de uso como cancelar reserva y validar usuario donde ademas de no haber ninguna relacion este incluye mas casos de uso como consultar reserva no existe concordancia,herencias,0
al existir tantos errores en el procedimientos es notorio que son pocos los casos de uso con un buen funcionamiento,errores,0
la caratula sin errores ortograficos,caratula,2
estructura no contiene codigo prioridad,estructura,0
en el procedimiento aplica correctamente los include extends y herencia,procedimiento,2
en el funcionamiento le falta un include a la hora de registrar un contrato de furgoneta para verficar si hay disponibilidad de furgoneta,funcionamiento,0
la caratula sin errores ortograficos,caratula,2
la sintaxis de los casos de uso es correcta sin embargo dentro de la estructura los casos de usos no cuentan con el codigo de prioridad,sintaxis,1
el caso de uso cancelar reserva tiene un include con el caso de uso validar usuario sin embrago no existe una secuencia logica ya que no existe conexion con el caso de uso registrar cliente,caso,0
en los casos de uso no existe el requerimiento de las altas y bajas de los vehiculos por lo tanto no existen vehiculos registrados en los casos de usos registrar contrato de furgoneta y automovil no existe una secuencia logica ya que no consulta si existe o no una reserva de dicho vehiculo al cual se quiere generar el contrato,casos,0
la caratula sin errores ortograficos,caratula,2
no esta facil de entender ya que hay casos de uso que no estan bien definidos y por ultimo tiene casos de uso que no tienen relacion en este caso son islas,facil,0
no se ha utilizado el extends ni herencia en el caso de estudio y no tiene la logica requerida para la respectiva factibilidad,extends,0
no cumple con todos los requerimientos solicitados ni con las funcionalidades,requerimientos,0
excelente presentacion de la caratula contiene todos los elementos requeridos,presentacion,2
falto ubicar el codigo de orden a cada caso de uso,codigo,0
algunos casos de uso no presenta una correcta secuencia logica por ejemplo el caso de uso consultar reserva y validar reserva no presenta logica alguna,casos,0
el diagrama de caso de uso no presenta una correcta funcionabilidad debido a la falta de correctas interacciones,diagrama,0
si posee todos los parametros indicados en la caratula y no posee errores ortograficos,parametros,2
la estructura no esta ordenada dificultando el entendimiento del diagrama la sintaxis utilizada no es la correcta algunos casos de uso no presentan el verbo en infinitivo mas el objeto los casos de uso no presentan codigo y existen islas,estructura,0
la solucion presentada tiene pocos procesos con secuencia logica no hay una correcta aplicacion de include y extend,solucion,0
la solucion no posee una correcta funcionalidad con algunos de los requerimientos del caso de estudio ademas los casos de uso no demuestran una interaccion con el objeto,solucion,0
la caratula contiene errores ortograficos,caratula,0
el documento en la sintaxis no contiene el codigo para cada caso de uso respectivo,documento,0
el documento contiene de manera correcta los procesos,documento,2
la solucion solo cumple en algunos requerimientos especialmente en los requerimientos del empleado al tomar como empleado como sistema,solucion,1
la estructura de la caratula y su contenido son correctos y en la descripcion del problema no se han encontrado faltas ortograficas,estructura,2
los casos de uso estan separados en  islas el sentido de las flechas tanto del include como del extend depende de la funcionalidad pero existen no hay codigo de casos de uso el sistema no es un usuario por lo tanto la estructura se visualiza con dificultad debido a que contiene algunos elementos la sintaxis no es correcta y no esta ordenada,casos,0
usa de forma incorrecta tanto include como extend no existe ninguna herencia entre actores y la herencia de casos de usos existente no tienen ninguna secuencia logica no hay una correcta asociacion entre actores y casos de uso por lo tanto no hay procesos correctos y hay una nula secuencia logica en el documento,forma,0
